Business Name,Category,City,Address,Phone,Website,Google Maps Link,Rating,Reviews,Website Status,Lead Quality,Reason
𝗗𝗶𝘃𝗶𝗻𝗲 𝗖𝗮𝗿𝗲 (𝗗𝗿 𝗚𝘂𝗿𝘀𝗶𝗺𝗿𝗮𝗻 𝗞𝗮𝘂𝗿): Best Gynaecologist | Best Laparoscopic Surgeon in Ludhiana,Gynecologist,Ludhiana,"2574, near Singh Sabha Gurudwara Road, Phase 1, Urban Estate Dugri, Ludhiana, Punjab 141001, India",088811 17066,,https://maps.google.com/?cid=10934903599023237655,4.9,1505,No,Top Priority,"No website, high reviews"
Smile Saviors Dental Clinic and Implant Centre,Dentist,Patiala,"First Floor Modi college, chowk, Lower Mall Rd, next to ICICI bank, New Lal Bagh Colony, Patiala, Punjab 147001, India",094636 67664,,https://maps.google.com/?cid=12668526685316785444,5,1290,No,Top Priority,"No website, high reviews"
Dr. Aditi’s Skin & Hair Clinic | MD Skin & Hair | Pigmentation | Acne | Hair | Best Skin Specialist in Ludhiana,Skin clinic,Ludhiana,"533, near Bus Stand, Sita Nagar, Ludhiana, Punjab 141001, India",070096 29885,,https://maps.google.com/?cid=12357783261712796313,4.8,1065,No,Top Priority,"No website, high reviews"
Veda diagnostics & Intervention centre | Ultrasound | X-Ray | Laboratory | Fetal Medicine | Best Ultrasound Centre in Patiala,Diagnostic lab,Patiala,"22, Income Tax Office Rd, Leela Bhawan, Bank Colony, Patiala, Punjab 147001, India",099155 41158,,https://maps.google.com/?cid=2251707216927908648,5,939,No,Top Priority,"No website, high reviews"
MOHALI DIAGNOSTIC CENTRE,Diagnostic lab,Mohali,"SCO - 678, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071, India",081466 11106,,https://maps.google.com/?cid=9073634317086504886,4.9,927,No,Top Priority,"No website, high reviews"
Dr. Anand Garg Physiotherapy and Rehabilitation center (Home Visits Only),Physiotherapist,Mohali,"House Number 524 Phase, 3a, Phase 3 A, Sector 53, Sahibzada Ajit Singh Nagar, Punjab 160059, India",098762 48619,,https://maps.google.com/?cid=17007527403780503879,5,785,No,Top Priority,"No website, high reviews"
Dr. Gurpreet Bone and Joint Clinic,Orthopedic clinic,Mohali,"2, Phase 11, Sector 65, Sahibzada Ajit Singh Nagar, Punjab 140301, India",094172 24960,,https://maps.google.com/?cid=11163557942362976827,5,724,No,Top Priority,"No website, high reviews"
Dr Garg's Dental Care,Dentist,Ludhiana,"opposite Children Traffic Training Park, near Sethi Study Circle, Pritm Nagar, Model Town, Ludhiana, Punjab 141002, India",099158 35290,,https://maps.google.com/?cid=2026701532666117835,4.9,711,No,Top Priority,"No website, high reviews"
Naresh Dental Clinic and Implant Center,Dentist,Patiala,"Naresh Dental Clinic, Street No. 4, near Gauri-Shankar Temple, Old Bishan Nagar, Gurbax Colony, Patiala, Punjab 147003, India",098144 55657,,https://maps.google.com/?cid=5841956665197768712,4.9,577,No,Top Priority,"No website, high reviews"
SARA Skin & Laser Clinic,Skin clinic,Jalandhar,"180, Model Town Rd, opposite Sewa Kendra, Model Town, Jalandhar, Punjab 144001, India",095011 03882,,https://maps.google.com/?cid=8177815783341692654,4.9,549,No,Top Priority,"No website, high reviews"
DM Diagnostic Centre,Diagnostic lab,Amritsar,"Majitha Rd, near govt eye & ent hospital, Sehaj Avenue, Amritsar, Punjab 143001, India",062396 16185,,https://maps.google.com/?cid=9320805960671707409,4.4,545,No,Top Priority,"No website, high reviews"
